path;text;voice
edited/voice_6g6ERxy_WindFX_01_637.wav;Qirg'ovullar O'rta Osiyodagi eng chiroyli qushlardan biridir.;voice_6g6ERxy_WindFX_01_637
edited/voice_6GemdvX_WindFX_01_637.wav;Issiq, yumshoq, oq nonni vaqtincha iste’mol qilmaslik ozishga yordam beradi.;voice_6GemdvX_WindFX_01_637
edited/voice_6Gnbqis_WindFX_01_637.wav;Keyingi kuni u otasinikida yashayotgan ayolini o‘ldirgani ma’lum bo‘ldi;voice_6Gnbqis_WindFX_01_637
edited/voice_6hPfB1S_WindFX_01_637.wav;""" Masalan, o‘sha Toj-Mahaldagi suratni ham uning o‘zi aynan o‘shanday ko‘rinishda oldirgan""";voice_6hPfB1S_WindFX_01_637
edited/voice_6Iht3br_WindFX_01_637.wav;Men gʻalabaga loyiq darajada yugura olmadim;voice_6Iht3br_WindFX_01_637
edited/voice_6Iiybya_WindFX_01_637.wav;Prezidentning Olmazor safari, Otamurodovning ketishi, o‘zgarayotgan alifbo va haftaning boshqa muhim xabarlari haqida qisqacha.;voice_6Iiybya_WindFX_01_637
edited/voice_6jq7gtY_WindFX_01_637.wav;Bolam bemehr chiqdi deb, ko’p ham o’kinmang.;voice_6jq7gtY_WindFX_01_637
edited/voice_6JXupGB_WindFX_01_637.wav;Haq va botil urushi qiyomatgacha davom etadi.;voice_6JXupGB_WindFX_01_637
edited/voice_6lAdsMm_WindFX_01_637.wav;Germaniya kabi davlatlarda;voice_6lAdsMm_WindFX_01_637
edited/voice_6mWLg2C_WindFX_01_637.wav;Qiynamang bolamni. Payti kelib o‘qib olar.;voice_6mWLg2C_WindFX_01_637
edited/voice_6g6ERxy_F#m_Guitar_01_685.wav;Qirg'ovullar O'rta Osiyodagi eng chiroyli qushlardan biridir.;voice_6g6ERxy_F#m_Guitar_01_685
edited/voice_6GemdvX_F#m_Guitar_01_685.wav;Issiq, yumshoq, oq nonni vaqtincha iste’mol qilmaslik ozishga yordam beradi.;voice_6GemdvX_F#m_Guitar_01_685
edited/voice_6Gnbqis_F#m_Guitar_01_685.wav;Keyingi kuni u otasinikida yashayotgan ayolini o‘ldirgani ma’lum bo‘ldi;voice_6Gnbqis_F#m_Guitar_01_685
edited/voice_6hPfB1S_F#m_Guitar_01_685.wav;""" Masalan, o‘sha Toj-Mahaldagi suratni ham uning o‘zi aynan o‘shanday ko‘rinishda oldirgan""";voice_6hPfB1S_F#m_Guitar_01_685
edited/voice_6Iht3br_F#m_Guitar_01_685.wav;Men gʻalabaga loyiq darajada yugura olmadim;voice_6Iht3br_F#m_Guitar_01_685
edited/voice_6Iiybya_F#m_Guitar_01_685.wav;Prezidentning Olmazor safari, Otamurodovning ketishi, o‘zgarayotgan alifbo va haftaning boshqa muhim xabarlari haqida qisqacha.;voice_6Iiybya_F#m_Guitar_01_685
edited/voice_6jq7gtY_F#m_Guitar_01_685.wav;Bolam bemehr chiqdi deb, ko’p ham o’kinmang.;voice_6jq7gtY_F#m_Guitar_01_685
edited/voice_6JXupGB_F#m_Guitar_01_685.wav;Haq va botil urushi qiyomatgacha davom etadi.;voice_6JXupGB_F#m_Guitar_01_685
edited/voice_6lAdsMm_F#m_Guitar_01_685.wav;Germaniya kabi davlatlarda;voice_6lAdsMm_F#m_Guitar_01_685
edited/voice_6mWLg2C_F#m_Guitar_01_685.wav;Qiynamang bolamni. Payti kelib o‘qib olar.;voice_6mWLg2C_F#m_Guitar_01_685
edited/voice_6g6ERxy_ShortGuitar.wav;Qirg'ovullar O'rta Osiyodagi eng chiroyli qushlardan biridir.;voice_6g6ERxy_ShortGuitar
edited/voice_6GemdvX_ShortGuitar.wav;Issiq, yumshoq, oq nonni vaqtincha iste’mol qilmaslik ozishga yordam beradi.;voice_6GemdvX_ShortGuitar
edited/voice_6Gnbqis_ShortGuitar.wav;Keyingi kuni u otasinikida yashayotgan ayolini o‘ldirgani ma’lum bo‘ldi;voice_6Gnbqis_ShortGuitar
edited/voice_6hPfB1S_ShortGuitar.wav;""" Masalan, o‘sha Toj-Mahaldagi suratni ham uning o‘zi aynan o‘shanday ko‘rinishda oldirgan""";voice_6hPfB1S_ShortGuitar
edited/voice_6Iht3br_ShortGuitar.wav;Men gʻalabaga loyiq darajada yugura olmadim;voice_6Iht3br_ShortGuitar
edited/voice_6Iiybya_ShortGuitar.wav;Prezidentning Olmazor safari, Otamurodovning ketishi, o‘zgarayotgan alifbo va haftaning boshqa muhim xabarlari haqida qisqacha.;voice_6Iiybya_ShortGuitar
edited/voice_6jq7gtY_ShortGuitar.wav;Bolam bemehr chiqdi deb, ko’p ham o’kinmang.;voice_6jq7gtY_ShortGuitar
edited/voice_6JXupGB_ShortGuitar.wav;Haq va botil urushi qiyomatgacha davom etadi.;voice_6JXupGB_ShortGuitar
edited/voice_6lAdsMm_ShortGuitar.wav;Germaniya kabi davlatlarda;voice_6lAdsMm_ShortGuitar
edited/voice_6mWLg2C_ShortGuitar.wav;Qiynamang bolamni. Payti kelib o‘qib olar.;voice_6mWLg2C_ShortGuitar
